cell_id,region_slug,n_buildings,mean_exposure_score,real_severity,model_oof_severity_pred,norm_heuristic,norm_real,norm_model_oof,heuristic_blind_spot_gap,model_still_blind_gap
french-quarter-nola:300:-901,french-quarter-nola,1000,0.0,64575.62496572845,27158.46652460039,0.0,0.4666779545674521,0.18593002444781598,0.4666779545674521,0.2807479301196361
galveston-seawall:293:-948,galveston-seawall,1000,0.011295,52437.046960235646,29194.775955685363,0.05553715558029502,0.3676891767424387,0.20505737596893933,0.31215202116214363,0.16263180077349934
south-beach-miami:258:-801,south-beach-miami,1000,0.007215,29503.73267716536,47648.56712947254,0.035475925410520456,0.18067050360537154,0.3783965283051158,0.1451945781948511,-0.19772602469974424
fort-myers-beach:264:-819,fort-myers-beach,158,0.1943354430379747,129974.6670872093,107938.04929340194,0.9555411894436088,1.0,0.9447044286528274,0.044458810556391226,0.055295571347172556
outer-banks-nags-head:360:-756,outer-banks-nags-head,437,0.00494279176201373,14919.239414758267,14053.544408270955,0.02430354980858407,0.06173555400999602,0.0628335794038913,0.037432004201411954,-0.001098025393895273
outer-banks-nags-head:360:-757,outer-banks-nags-head,1,0.0,10425.51895794099,14710.64266376929,0.0,0.025089754501493883,0.06900579916822096,0.025089754501493883,-0.04391604466672708
outer-banks-nags-head:359:-756,outer-banks-nags-head,562,0.00936832740213523,14010.478960476448,15018.679999039949,0.04606376772550025,0.054324711762711794,0.07189923879159525,0.008260944037211546,-0.017574527028883458
clearwater-beach:280:-828,clearwater-beach,717,0.12847280334728034,77257.1103409992,28376.666858534656,0.6316966859083271,0.5700940826951281,0.19737275788243722,-0.06160260321319899,0.3727213248126908
fort-myers-beach:265:-820,fort-myers-beach,795,0.20337735849056604,109751.06863657956,113824.84931938205,1.0,0.8350787635136675,1.0,-0.1649212364863325,-0.1649212364863325
fort-myers-beach:265:-819,fort-myers-beach,47,0.19563829787234044,85382.39451590106,113536.70531061423,0.9619472852058673,0.6363548876749617,0.9972934212942917,-0.3255923975309055,-0.3609385336193299
ocean-city-md:383:-751,ocean-city-md,476,0.08524159663865546,14102.95899408284,7364.243477733348,0.4191302181880267,0.05507887633584139,0.0,-0.3640513418521853,0.05507887633584139
ocean-city-md:384:-751,ocean-city-md,524,0.08470419847328244,7348.867757201646,14174.92674528831,0.4164878485095064,0.0,0.06397374140144654,-0.4164878485095064,-0.06397374140144654
charleston-battery:328:-799,charleston-battery,1000,0.119325,22665.50374590548,44013.08737805524,0.5867172279432229,0.12490549356162862,0.34424793669532566,-0.4618117343815943,-0.21934244313369705
