building_id,region_slug,lon,lat,height_m,surge_class,surge_ft,flood_active,exposure_score,exposure_category
a916cac7-fc1a-4cbd-bf88-171e23e68ec7,south-beach-miami,-80.137364,25.77342,19.4,0,0.0,False,0.0,none
c58b8db6-b0e9-459d-b50a-a7422edd7d39,south-beach-miami,-80.136985,25.773792,22.4,0,0.0,False,0.0,none
e99a20a3-a0fb-4d32-aa10-e818f51985cd,south-beach-miami,-80.13685,25.773796,8.0,0,0.0,False,0.0,none
7a6a8291-768c-4a95-b5f1-51e229bac074,south-beach-miami,-80.136906,25.773464,15.3,0,0.0,False,0.0,none
3557a73f-0b54-4d2b-a897-623b7f554885,south-beach-miami,-80.136849,25.773045,7.6,0,0.0,False,0.0,none
d236255e-2aed-4eb0-9b38-d2b4d91b1dff,south-beach-miami,-80.136906,25.773179,9.0,0,0.0,False,0.0,none
11168b4c-63d3-4090-a02f-3cb88c47b731,south-beach-miami,-80.13692,25.773322,8.7,0,0.0,False,0.0,none
34531f2d-118b-4956-ac35-c7c7e51434ce,south-beach-miami,-80.136924,25.772918,7.1,0,0.0,False,0.0,none
a4355896-747e-4151-8983-4feef94a8c48,south-beach-miami,-80.136852,25.772758,7.7,0,0.0,False,0.0,none
7fec95d4-86dc-41d4-b7f7-1ce108d83d28,south-beach-miami,-80.136716,25.772915,3.9,0,0.0,False,0.0,none
381d9cf8-4f18-4df5-b357-6e0b0bb45598,south-beach-miami,-80.136668,25.773053,6.2,0,0.0,False,0.0,none
a63ff859-3bc7-4d32-b2fb-8aa80492d638,south-beach-miami,-80.136726,25.773182,5.7,0,0.0,False,0.0,none
c01eb9cc-b9e8-4267-a4ee-d6d6b904ad80,south-beach-miami,-80.136726,25.773326,10.7,0,0.0,False,0.0,none
9aaad1b6-ff2d-447f-a0e5-2ff9f74220ed,south-beach-miami,-80.136343,25.773331,11.1,0,0.0,False,0.0,none
4e605d6b-2a06-4a18-91b4-d63bec1fd181,south-beach-miami,-80.136334,25.773195,7.992374897003174,0,0.0,False,0.0,none
77846d3e-cf97-4822-a128-3e17ed3af326,south-beach-miami,-80.136413,25.773057,20.2,0,0.0,False,0.0,none
1227b3eb-c687-4a01-a15a-b50163a47f0a,south-beach-miami,-80.136319,25.772801,7.3,1,0.5,False,0.015,low
fa44e77d-4470-43bf-8900-794354b9de23,south-beach-miami,-80.136283,25.772933,8.5,0,0.0,False,0.0,none
5b81a8b5-000d-40c3-ba74-244066359a1c,south-beach-miami,-80.136199,25.77306,7.1,0,0.0,False,0.0,none
468709fb-7d78-4371-bded-5838361c513c,south-beach-miami,-80.136254,25.773743,8.8,0,0.0,False,0.0,none
756fc107-d9a4-4a4e-ad8c-9c5dff21214a,south-beach-miami,-80.136244,25.773897,7.2,0,0.0,False,0.0,none
c3fca70e-a725-4ca8-878d-fc0e3b35c04f,south-beach-miami,-80.136459,25.773887,3.6,0,0.0,False,0.0,none
5bfd1582-54cd-4fb7-8897-cf259faef41b,south-beach-miami,-80.136448,25.773764,3.4977011680603027,0,0.0,False,0.0,none
1fe073c7-af24-45ca-8e58-598bf04fcc3c,south-beach-miami,-80.136336,25.773478,10.53513240814209,0,0.0,False,0.0,none
6adee427-0efe-4848-99f8-eaf25d16efd9,south-beach-miami,-80.136681,25.773476,5.7,0,0.0,False,0.0,none
00f73e4c-016c-435b-a6eb-88a8546c9226,south-beach-miami,-80.136728,25.773795,6.6,0,0.0,False,0.0,none
8ed2ddab-a173-4dbe-af0e-4fc700881577,south-beach-miami,-80.136353,25.774099,14.1,0,0.0,False,0.0,none
6f4790ce-6243-44ad-ac16-39c448c6b884,south-beach-miami,-80.136399,25.775266,13.8,1,0.5,False,0.015,low
afd4138c-ef05-4a6b-8b10-d73e1c37fe2c,south-beach-miami,-80.136374,25.775394,9.81816291809082,1,0.5,False,0.015,low
f56c1fde-d6e3-4278-9dc1-961ca7e9e058,south-beach-miami,-80.136403,25.775123,19.4,0,0.0,False,0.0,none
8c468429-7304-4ee9-8f9a-a7924b3ed4b2,south-beach-miami,-80.136324,25.77479,12.63810920715332,0,0.0,False,0.0,none
95fd00f5-3f35-4564-b1a2-b8ae1de0ed5d,south-beach-miami,-80.136539,25.774789,4.185001373291016,1,0.5,False,0.015,low
99fb253c-2b4c-4b5e-bcbc-ab2289ff581d,south-beach-miami,-80.136833,25.774895,2.87613844871521,2,1.5,False,0.045,low
f43fb23e-3de4-4e97-ae9a-4d82f61b28da,south-beach-miami,-80.136875,25.774741,2.3430912494659424,0,0.0,False,0.0,none
dc10b0ec-d371-4196-a5f4-8a6cd9154525,south-beach-miami,-80.136858,25.774147,8.1,0,0.0,False,0.0,none
3918df8b-ba8a-494f-b941-a56cbfb2d803,south-beach-miami,-80.13742,25.774094,25.3,1,0.5,False,0.015,low
7636ac4f-28c1-4a94-bcb1-d9fd2fbaf35b,south-beach-miami,-80.137644,25.774118,5.161627769470215,1,0.5,False,0.015,low
